tank_num,block_ID,trmt_ID,tad_num,ind_type,assem_type,species,emerg_grams,absorb_grams
7,B1_5,NL_C_S,1,NL,S,Fem,0.262,0.159
7,B1_5,NL_C_S,2,NL,S,Fem,0.346,0.171
7,B1_5,NL_C_S,3,NL,S,Fem,0.427,0.275
7,B1_5,NL_C_S,4,NL,S,Fem,0.236,0.203
13,B2_4,NL_C_S,1,NL,S,Fem,0.198,0.148
13,B2_4,NL_C_S,2,NL,S,Fem,0.354,0.233
13,B2_4,NL_C_S,3,NL,S,Fem,0.279,0.173
13,B2_4,NL_C_S,4,NL,S,Fem,0.224,0.157
13,B2_4,NL_C_S,5,NL,S,Fem,1.05,0.501
13,B2_4,NL_C_S,6,NL,S,Fem,0.525,0.308
13,B2_4,NL_C_S,7,NL,S,Fem,0.272,0.218
2,B3_6,NL_C_S,1,NL,S,Fem,0.275,0.184
2,B3_6,NL_C_S,2,NL,S,Fem,0.316,0.21
2,B3_6,NL_C_S,3,NL,S,Fem,0.205,0.173
2,B3_6,NL_C_S,4,NL,S,Fem,0.311,0.205
2,B3_6,NL_C_S,5,NL,S,Fem,0.266,0.164
40,B4_2,NL_C_S,1,NL,S,Fem,0.259,0.254
40,B4_2,NL_C_S,2,NL,S,Fem,0.196,0.147
40,B4_2,NL_C_S,3,NL,S,Fem,0.242,0.173
40,B4_2,NL_C_S,4,NL,S,Fem,0.254,0.177
40,B4_2,NL_C_S,5,NL,S,Fem,0.244,0.247
3,B5_4,NL_C_S,1,NL,S,Fem,0.22,0.164
3,B5_4,NL_C_S,2,NL,S,Fem,0.203,0.193
3,B5_4,NL_C_S,3,NL,S,Fem,0.19,0.17
3,B5_4,NL_C_S,4,NL,S,Fem,0.232,0.221
3,B5_4,NL_C_S,5,NL,S,Fem,0.248,0.225
3,B5_4,NL_C_S,6,NL,S,Fem,0.372,0.197
27,B1_3,NL_C_M,5,NL,M,Fem,0.308,0.293
27,B1_3,NL_C_M,6,NL,M,Fem,0.371,0.273
22,B2_7,NL_C_M,3,NL,M,Fem,0.258,0.175
18,B3_4,NL_C_M,3,NL,M,Fem,0.253,0.224
18,B3_4,NL_C_M,5,NL,M,Fem,0.165,0.146
18,B3_4,NL_C_M,7,NL,M,Fem,0.286,0.255
12,B4_7,NL_C_M,5,NL,M,Fem,0.288,0.204
12,B4_7,NL_C_M,6,NL,M,Fem,0.475,0.253
37,B5_2,NL_C_M,2,NL,M,Fem,0.13,0.097
37,B5_2,NL_C_M,3,NL,M,Fem,0.227,0.164
37,B5_2,NL_C_M,5,NL,M,Fem,0.299,0.213
39,B1_8,C_C_S,1,C,S,Fem,0.21,0.136
39,B1_8,C_C_S,2,C,S,Fem,0.21,0.171
39,B1_8,C_C_S,3,C,S,Fem,0.234,0.183
39,B1_8,C_C_S,4,C,S,Fem,0.388,0.271
39,B1_8,C_C_S,5,C,S,Fem,0.371,0.298
24,B2_2,C_C_S,1,C,S,Fem,0.32,0.25
24,B2_2,C_C_S,2,C,S,Fem,0.207,0.14
24,B2_2,C_C_S,3,C,S,Fem,0.175,0.168
24,B2_2,C_C_S,4,C,S,Fem,0.157,0.155
24,B2_2,C_C_S,5,C,S,Fem,0.146,0.13
24,B2_2,C_C_S,6,C,S,Fem,0.337,0.277
24,B2_2,C_C_S,7,C,S,Fem,0.193,0.16
6,B3_1,C_C_S,1,C,S,Fem,0.188,0.142
6,B3_1,C_C_S,2,C,S,Fem,0.213,0.177
6,B3_1,C_C_S,3,C,S,Fem,0.316,0.227
6,B3_1,C_C_S,4,C,S,Fem,0.37,0.363
9,B4_4,C_C_S,1,C,S,Fem,0.195,0.145
9,B4_4,C_C_S,2,C,S,Fem,0.3,0.3
9,B4_4,C_C_S,3,C,S,Fem,0.368,0.215
9,B4_4,C_C_S,4,C,S,Fem,0.337,0.219
9,B4_4,C_C_S,5,C,S,Fem,0.37,0.258
9,B4_4,C_C_S,6,C,S,Fem,0.304,0.155
9,B4_4,C_C_S,7,C,S,Fem,0.251,0.254
4,B5_3,C_C_S,1,C,S,Fem,0.182,0.157
4,B5_3,C_C_S,2,C,S,Fem,0.27,0.201
4,B5_3,C_C_S,3,C,S,Fem,0.175,0.14
4,B5_3,C_C_S,4,C,S,Fem,0.3,0.266
33,B1_6,C_C_M,2,C,M,Fem,0.218,0.15
33,B1_6,C_C_M,3,C,M,Fem,0.35,0.223
26,B2_8,C_C_M,1,C,M,Fem,0.219,0.219
26,B2_8,C_C_M,2,C,M,Fem,0.193,0.154
26,B2_8,C_C_M,6,C,M,Fem,0.375,0.261
34,B3_2,C_C_M,5,C,M,Fem,0.291,0.264
14,B4_8,C_C_M,1,C,M,Fem,0.255,0.166
14,B4_8,C_C_M,6,C,M,Fem,0.323,0.253
11,B5_6,C_C_M,3,C,M,Fem,0.23,0.23