tank_num,block_ID,trmt_ID,tad_num,ind_type,assem_type,species,svl_cm
7,B1_5,NL_C_S,1,NL,S,Fem,1.1
7,B1_5,NL_C_S,2,NL,S,Fem,1.1
7,B1_5,NL_C_S,3,NL,S,Fem,1.2
7,B1_5,NL_C_S,4,NL,S,Fem,1.2
13,B2_4,NL_C_S,1,NL,S,Fem,1
13,B2_4,NL_C_S,2,NL,S,Fem,1.2
13,B2_4,NL_C_S,3,NL,S,Fem,1.1
13,B2_4,NL_C_S,4,NL,S,Fem,1
13,B2_4,NL_C_S,5,NL,S,Fem,1.5
13,B2_4,NL_C_S,6,NL,S,Fem,1.3
13,B2_4,NL_C_S,7,NL,S,Fem,1.2
2,B3_6,NL_C_S,1,NL,S,Fem,1.1
2,B3_6,NL_C_S,2,NL,S,Fem,1.1
2,B3_6,NL_C_S,3,NL,S,Fem,1.1
2,B3_6,NL_C_S,4,NL,S,Fem,1.2
2,B3_6,NL_C_S,5,NL,S,Fem,1
40,B4_2,NL_C_S,1,NL,S,Fem,1.4
40,B4_2,NL_C_S,2,NL,S,Fem,1.1
40,B4_2,NL_C_S,3,NL,S,Fem,1.1
40,B4_2,NL_C_S,4,NL,S,Fem,1.2
40,B4_2,NL_C_S,5,NL,S,Fem,1.2
3,B5_4,NL_C_S,1,NL,S,Fem,1.2
3,B5_4,NL_C_S,2,NL,S,Fem,1.2
3,B5_4,NL_C_S,3,NL,S,Fem,1
3,B5_4,NL_C_S,4,NL,S,Fem,1.3
3,B5_4,NL_C_S,5,NL,S,Fem,1.3
3,B5_4,NL_C_S,6,NL,S,Fem,1.2
27,B1_3,NL_C_M,5,NL,M,Fem,1.2
27,B1_3,NL_C_M,6,NL,M,Fem,1.4
22,B2_7,NL_C_M,3,NL,M,Fem,1.1
18,B3_4,NL_C_M,3,NL,M,Fem,1.3
18,B3_4,NL_C_M,5,NL,M,Fem,1.1
18,B3_4,NL_C_M,7,NL,M,Fem,1.3
12,B4_7,NL_C_M,5,NL,M,Fem,1.2
12,B4_7,NL_C_M,6,NL,M,Fem,1.2
37,B5_2,NL_C_M,2,NL,M,Fem,1
37,B5_2,NL_C_M,3,NL,M,Fem,1.1
37,B5_2,NL_C_M,5,NL,M,Fem,1.2
39,B1_8,C_C_S,1,C,S,Fem,1.1
39,B1_8,C_C_S,2,C,S,Fem,1
39,B1_8,C_C_S,3,C,S,Fem,1.2
39,B1_8,C_C_S,4,C,S,Fem,1.2
39,B1_8,C_C_S,5,C,S,Fem,1.4
24,B2_2,C_C_S,1,C,S,Fem,1.5
24,B2_2,C_C_S,2,C,S,Fem,1.2
24,B2_2,C_C_S,3,C,S,Fem,1
24,B2_2,C_C_S,4,C,S,Fem,1.2
24,B2_2,C_C_S,5,C,S,Fem,1.2
24,B2_2,C_C_S,6,C,S,Fem,1.2
24,B2_2,C_C_S,7,C,S,Fem,1
6,B3_1,C_C_S,1,C,S,Fem,1.1
6,B3_1,C_C_S,2,C,S,Fem,1.2
6,B3_1,C_C_S,3,C,S,Fem,1.4
6,B3_1,C_C_S,4,C,S,Fem,1.4
9,B4_4,C_C_S,1,C,S,Fem,1.3
9,B4_4,C_C_S,2,C,S,Fem,1.2
9,B4_4,C_C_S,3,C,S,Fem,1.1
9,B4_4,C_C_S,4,C,S,Fem,1.2
9,B4_4,C_C_S,5,C,S,Fem,1.3
9,B4_4,C_C_S,6,C,S,Fem,1
9,B4_4,C_C_S,7,C,S,Fem,1.1
4,B5_3,C_C_S,1,C,S,Fem,1.5
4,B5_3,C_C_S,2,C,S,Fem,1.2
4,B5_3,C_C_S,3,C,S,Fem,1
4,B5_3,C_C_S,4,C,S,Fem,1.2
33,B1_6,C_C_M,2,C,M,Fem,1.1
33,B1_6,C_C_M,3,C,M,Fem,1.3
26,B2_8,C_C_M,1,C,M,Fem,1
26,B2_8,C_C_M,2,C,M,Fem,1.2
26,B2_8,C_C_M,6,C,M,Fem,1.4
34,B3_2,C_C_M,5,C,M,Fem,1.3
14,B4_8,C_C_M,1,C,M,Fem,1.3
14,B4_8,C_C_M,6,C,M,Fem,1.2
11,B5_6,C_C_M,3,C,M,Fem,1.2